index,sec,sector,chs,eng
1,1.0.0,每股指标,基本每股收益,EPS
2,1.0.0,每股指标,扣除非经常性损益每股收益,deductEPS
3,1.0.0,每股指标,每股未分配利润,undistributedProfitPerShare
4,1.0.0,每股指标,每股净资产,netAssetsPerShare
5,1.0.0,每股指标,每股资本公积金,capitalReservePerShare
6,1.0.0,每股指标,净资产收益率,ROE
7,1.0.0,每股指标,每股经营现金流量,operatingCashFlowPerShare
8,2.1.1,流动资产,货币资金,moneyFunds
9,2.1.1,流动资产,交易性金融资产,tradingFinancialAssets
10,2.1.1,流动资产,应收票据,billsReceivables
11,2.1.1,流动资产,应收账款,accountsReceivables
12,2.1.1,流动资产,预付款项,prepayments
13,2.1.1,流动资产,其他应收款,otherReceivables
14,2.1.1,流动资产,应收关联公司款,interCompanyReceivables
15,2.1.1,流动资产,应收利息,interestReceivables
16,2.1.1,流动资产,应收股利,dividendsReceivables
17,2.1.1,流动资产,存货,inventory
18,2.1.1,流动资产,其中：消耗性生物资产,expendableBiologicalAssets
19,2.1.1,流动资产,一年内到期的非流动资产,noncurrentAssetsDueWithinOneYear
20,2.1.1,流动资产,其他流动资产,otherLiquidAssets
21,2.1.1,流动资产,流动资产合计,totalLiquidAssets
22,2.1.2,非流动资产,可供出售金融资产,availableForSaleSecurities
23,2.1.2,非流动资产,持有至到期投资,heldToMaturityInvestments
24,2.1.2,非流动资产,长期应收款,longTermReceivables
25,2.1.2,非流动资产,长期股权投资,longTermEquityInvestment
26,2.1.2,非流动资产,投资性房地产,investmentRealEstate
27,2.1.2,非流动资产,固定资产,fixedAssets
28,2.1.2,非流动资产,在建工程,constructionInProgress
29,2.1.2,非流动资产,工程物资,engineerMaterial
30,2.1.2,非流动资产,固定资产清理,fixedAssetsCleanUp
31,2.1.2,非流动资产,生产性生物资产,productiveBiologicalAssets
32,2.1.2,非流动资产,油气资产,oilAndGasAssets
33,2.1.2,非流动资产,无形资产,intangibleAssets
34,2.1.2,非流动资产,开发支出,developmentExpenditure
35,2.1.2,非流动资产,商誉,goodwill
36,2.1.2,非流动资产,长期待摊费用,longTermDeferredExpenses
37,2.1.2,非流动资产,递延所得税资产,deferredIncomeTaxAssets
38,2.1.2,非流动资产,其他非流动资产,otherNonCurrentAssets
39,2.1.2,非流动资产,非流动资产合计,totalNonCurrentAssets
40,2.1.2,非流动资产,资产总计,totalAssets
41,2.2.1,流动负债,短期借款,shortTermLoan
42,2.2.1,流动负债,交易性金融负债,tradingFinancialLiabilities
43,2.2.1,流动负债,应付票据,billsPayable
44,2.2.1,流动负债,应付账款,accountsPayable
45,2.2.1,流动负债,预收款项,advancedReceivable
46,2.2.1,流动负债,应付职工薪酬,employeesPayable
47,2.2.1,流动负债,应交税费,taxPayable
48,2.2.1,流动负债,应付利息,interestPayable
49,2.2.1,流动负债,应付股利,dividendPayable
50,2.2.1,流动负债,其他应付款,otherPayable
51,2.2.1,流动负债,应付关联公司款,interCompanyPayable
52,2.2.1,流动负债,一年内到期的非流动负债,noncurrentLiabilitiesDueWithinOneYear
53,2.2.1,流动负债,其他流动负债,otherCurrentLiabilities
54,2.2.1,流动负债,流动负债合计,totalCurrentLiabilities
55,2.2.2,非流动负债,长期借款,longTermLoans
56,2.2.2,非流动负债,应付债券,bondsPayable
57,2.2.2,非流动负债,长期应付款,longTermPayable
58,2.2.2,非流动负债,专项应付款,specialPayable
59,2.2.2,非流动负债,预计负债,estimatedLiabilities
60,2.2.2,非流动负债,递延所得税负债,defferredIncomeTaxLiabilities
61,2.2.2,非流动负债,其他非流动负债,otherNonCurrentLiabilities
62,2.2.2,非流动负债,非流动负债合计,totalNonCurrentLiabilities
63,2.2.2,非流动负债,负债合计,totalLiabilities
64,2.3.0,所有者权益,实收资本（或股本）,totalShare
65,2.3.0,所有者权益,资本公积,capitalReserve
66,2.3.0,所有者权益,盈余公积,surplusReserve
67,2.3.0,所有者权益,减：库存股,treasuryStock
68,2.3.0,所有者权益,未分配利润,undistributedProfits
69,2.3.0,所有者权益,少数股东权益,minorityEquity
70,2.3.0,所有者权益,外币报表折算价差,foreignCurrencyReportTranslationSpread
71,2.3.0,所有者权益,非正常经营项目收益调整,abnormalBusinessProjectEarningsAdjustment
72,2.3.0,所有者权益,所有者权益（或股东权益）合计,totalOwnersEquity
73,2.3.0,所有者权益,负债和所有者（或股东权益）合计,totalLiabilitiesAndOwnersEquity
74,3.0.0,利润表,其中：营业收入,operatingRevenue
75,3.0.0,利润表,其中：营业成本,operatingCosts
76,3.0.0,利润表,营业税金及附加,taxAndSurcharges
77,3.0.0,利润表,销售费用,salesCosts
78,3.0.0,利润表,管理费用,managementCosts
79,3.0.0,利润表,堪探费用,explorationCosts
80,3.0.0,利润表,财务费用,financialCosts
81,3.0.0,利润表,资产减值损失,assestsDevaluation
82,3.0.0,利润表,加：公允价值变动净收益,profitAndLossFromFairValueChanges
83,3.0.0,利润表,投资收益,investmentIncome
84,3.0.0,利润表,其中：对联营企业和合营企业的投资收益,investmentIncomeFromAffiliatedBusinessAndCooperativeEnterprise
85,3.0.0,利润表,影响营业利润的其他科目,otherSubjectsAffectingOperatingProfit
86,3.0.0,利润表,三、营业利润,operatingProfit
87,3.0.0,利润表,加：补贴收入,subsidyIncome
88,3.0.0,利润表,营业外收入,nonOperatingIncome
89,3.0.0,利润表,减：营业外支出,nonOperatingExpenses
90,3.0.0,利润表,其中：非流动资产处置净损失,netLossFromDisposalOfNonCurrentAssets
91,3.0.0,利润表,加：影响利润总额的其他科目,otherSubjectsAffectTotalProfit
92,3.0.0,利润表,四、利润总额,totalProfit
93,3.0.0,利润表,减：所得税,incomeTax
94,3.0.0,利润表,加：影响净利润的其他科目,otherSubjectsAffectNetProfit
95,3.0.0,利润表,五、净利润,netProfit
96,3.0.0,利润表,归属于母公司所有者的净利润,netProfitsBelongToParentCompanyOwner
97,3.0.0,利润表,少数股东损益,minorityProfitAndLoss
